#,title,artist,href,file,title (max32)
147,Slow Motion,Ryan (QC) (Ft. Lost ),https://genius.com/Ryan-qc-slow-motion-lyrics,Ryan-qc-slow-motion,Ryan-qc-slow-motion
148,Pourquoi tout perdre,Lenni-Kim,https://genius.com/Lenni-kim-pourquoi-tout-perdre-lyrics,Lenni-kim-pourquoi-tout-perdre,Lenni-kim-pourquoi-tout-perdre
149,Gucci,Soubillz,https://genius.com/Soubillz-gucci-lyrics,Soubillz-gucci,Soubillz-gucci
150,Million,Enima,https://genius.com/Enima-million-lyrics,Enima-million,Enima-million
151,Devil May Cry,Rowjay (Ft. Alpha Wann ),https://genius.com/Rowjay-devil-may-cry-lyrics,Rowjay-devil-may-cry,Rowjay-devil-may-cry
152,Vrai Slime,Jeune Loup,https://genius.com/Jeune-loup-vrai-slime-lyrics,Jeune-loup-vrai-slime,Jeune-loup-vrai-slime
153,In Love,Enima,https://genius.com/Enima-in-love-lyrics,Enima-in-love,Enima-in-love
154,FLX,Alaclair Ensemble (Ft. Souldia ),https://genius.com/Alaclair-ensemble-flx-lyrics,Alaclair-ensemble-flx,Alaclair-ensemble-flx
155,Off The Grid,Loud (Ft. Lary Kidd ),https://genius.com/Loud-off-the-grid-lyrics,Loud-off-the-grid,Loud-off-the-grid
156,Corbeau,Souldia,https://genius.com/Souldia-corbeau-lyrics,Souldia-corbeau,Souldia-corbeau
157,Pardon,Koriass (Ft. Loud ),https://genius.com/Koriass-pardon-lyrics,Koriass-pardon,Koriass-pardon
158,Break,Dead Obies,https://genius.com/Dead-obies-break-lyrics,Dead-obies-break,Dead-obies-break
159,Espérance,Souldia,https://genius.com/Souldia-esperance-lyrics,Souldia-esperance,Souldia-esperance
160,Chacun son récit,White-B,https://genius.com/White-b-chacun-son-recit-lyrics,White-b-chacun-son-recit,White-b-chacun-son-recit
161,Blue Volvo,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-blue-volvo-lyrics,Loud-lary-ajust-blue-volvo,Loud-lary-ajust-blue-volvo
162,La mort de Manu (Garde ta job),Koriass,https://genius.com/Koriass-la-mort-de-manu-garde-ta-job-lyrics,Koriass-la-mort-de-manu-garde-ta-job,Koriass-la-mort-de-manu-garde-ta
163,Back sur le BS,Jeune Loup,https://genius.com/Jeune-loup-back-sur-le-bs-lyrics,Jeune-loup-back-sur-le-bs,Jeune-loup-back-sur-le-bs
164,Findsemaine,Les Anticipateurs,https://genius.com/Les-anticipateurs-findsemaine-lyrics,Les-anticipateurs-findsemaine,Les-anticipateurs-findsemaine
165,Roi de la jungle,Manu Militari (Ft. Fafadi ),https://genius.com/Manu-militari-roi-de-la-jungle-lyrics,Manu-militari-roi-de-la-jungle,Manu-militari-roi-de-la-jungle
166,Rien ne va plus,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-rien-ne-va-plus-lyrics,Loud-lary-ajust-rien-ne-va-plus,Loud-lary-ajust-rien-ne-va-plus
167,Kurt Cobain,Souldia,https://genius.com/Souldia-kurt-cobain-lyrics,Souldia-kurt-cobain,Souldia-kurt-cobain
168,F.P.T.N.,Yes Mccan (Ft. CDX ),https://genius.com/Yes-mccan-fptn-lyrics,Yes-mccan-fptn,Yes-mccan-fptn
169,La vi ti nèg,Muzion,https://genius.com/Muzion-la-vi-ti-neg-lyrics,Muzion-la-vi-ti-neg,Muzion-la-vi-ti-neg
170,PLAYA,FouKi,https://genius.com/Fouki-playa-lyrics,Fouki-playa,Fouki-playa
