#,title,artist,href
153,In Love,Enima,https://genius.com/Enima-in-love-lyrics
154,FLX,Alaclair Ensemble (Ft. Souldia ),https://genius.com/Alaclair-ensemble-flx-lyrics
155,Off The Grid,Loud (Ft. Lary Kidd ),https://genius.com/Loud-off-the-grid-lyrics
156,Corbeau,Souldia,https://genius.com/Souldia-corbeau-lyrics
157,Pardon,Koriass (Ft. Loud ),https://genius.com/Koriass-pardon-lyrics
158,Break,Dead Obies,https://genius.com/Dead-obies-break-lyrics
159,Espérance,Souldia,https://genius.com/Souldia-esperance-lyrics
160,Chacun son récit,White-B,https://genius.com/White-b-chacun-son-recit-lyrics
161,Blue Volvo,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-blue-volvo-lyrics
162,La mort de Manu (Garde ta job),Koriass,https://genius.com/Koriass-la-mort-de-manu-garde-ta-job-lyrics
163,Back sur le BS,Jeune Loup,https://genius.com/Jeune-loup-back-sur-le-bs-lyrics
164,Findsemaine,Les Anticipateurs,https://genius.com/Les-anticipateurs-findsemaine-lyrics
165,Roi de la jungle,Manu Militari (Ft. Fafadi ),https://genius.com/Manu-militari-roi-de-la-jungle-lyrics
166,Rien ne va plus,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-rien-ne-va-plus-lyrics
167,Kurt Cobain,Souldia,https://genius.com/Souldia-kurt-cobain-lyrics
168,F.P.T.N.,Yes Mccan (Ft. CDX ),https://genius.com/Yes-mccan-fptn-lyrics
169,La vi ti nèg,Muzion,https://genius.com/Muzion-la-vi-ti-neg-lyrics
170,PLAYA,FouKi,https://genius.com/Fouki-playa-lyrics
171,Esclave en fuite,Manu Militari,https://genius.com/Manu-militari-esclave-en-fuite-lyrics
172,Zaybae,FouKi,https://genius.com/Fouki-zaybae-lyrics
173,Peace and Love,Manu Militari,https://genius.com/Manu-militari-peace-and-love-lyrics
174,Aweille,Dead Obies,https://genius.com/Dead-obies-aweille-lyrics
175,What It Is,Dead Obies,https://genius.com/Dead-obies-what-it-is-lyrics
176,Barillet,Souldia,https://genius.com/Souldia-barillet-lyrics
177,Jolies Filles,Koriass (Ft. Lary Kidd ),https://genius.com/Koriass-jolies-filles-lyrics
178,Bénis,Koriass & FouKi,https://genius.com/Koriass-and-fouki-benis-lyrics
179,Répertoire des rappeurs & rappeuses québécois·es,Genius Québec,https://genius.com/Genius-quebec-repertoire-des-rappeurs-and-rappeuses-quebecoises-annotated
180,S.P.A.L.A.,FouKi (Ft. Vendou ),https://genius.com/Fouki-spala-lyrics
